s1b1_vwret,s1b2_vwret,s1b3_vwret,s1b4_vwret,s1b5_vwret,s2b1_vwret,s2b2_vwret,s2b3_vwret,s2b4_vwret,s2b5_vwret,s3b1_vwret,s3b2_vwret,s3b3_vwret,s3b4_vwret,s3b5_vwret,s4b1_vwret,s4b2_vwret,s4b3_vwret,s4b4_vwret,s4b5_vwret,s5b1_vwret,s5b2_vwret,s5b3_vwret,s5b4_vwret,s5b5_vwret,s1b1_ewret,s1b2_ewret,s1b3_ewret,s1b4_ewret,s1b5_ewret,s2b1_ewret,s2b2_ewret,s2b3_ewret,s2b4_ewret,s2b5_ewret,s3b1_ewret,s3b2_ewret,s3b3_ewret,s3b4_ewret,s3b5_ewret,s4b1_ewret,s4b2_ewret,s4b3_ewret,s4b4_ewret,s4b5_ewret,s5b1_ewret,s5b2_ewret,s5b3_ewret,s5b4_ewret,s5b5_ewret,s1b1_nfirms,s1b2_nfirms,s1b3_nfirms,s1b4_nfirms,s1b5_nfirms,s2b1_nfirms,s2b2_nfirms,s2b3_nfirms,s2b4_nfirms,s2b5_nfirms,s3b1_nfirms,s3b2_nfirms,s3b3_nfirms,s3b4_nfirms,s3b5_nfirms,s4b1_nfirms,s4b2_nfirms,s4b3_nfirms,s4b4_nfirms,s4b5_nfirms,s5b1_nfirms,s5b2_nfirms,s5b3_nfirms,s5b4_nfirms,s5b5_nfirms,s1b1_msize,s1b2_msize,s1b3_msize,s1b4_msize,s1b5_msize,s2b1_msize,s2b2_msize,s2b3_msize,s2b4_msize,s2b5_msize,s3b1_msize,s3b2_msize,s3b3_msize,s3b4_msize,s3b5_msize,s4b1_msize,s4b2_msize,s4b3_msize,s4b4_msize,s4b5_msize,s5b1_msize,s5b2_msize,s5b3_msize,s5b4_msize,s5b5_msize,s1b1_level,s1b2_level,s1b3_level,s1b4_level,s1b5_level,s2b1_level,s2b2_level,s2b3_level,s2b4_level,s2b5_level,s3b1_level,s3b2_level,s3b3_level,s3b4_level,s3b5_level,s4b1_level,s4b2_level,s4b3_level,s4b4_level,s4b5_level,s5b1_level,s5b2_level,s5b3_level,s5b4_level,s5b5_level,year,month,DATE
0.019618,0.003794,0.005309,0.01294,-0.001019,0.004701,0.027511,0.036817,0.030444,0.02247,0.053794,0.028508,0.04636,0.027332,0.040177,0.043356,0.043939,0.050202,0.067514,0.044461,0.01483,0.078641,0.020825,0.059144,0.073807,0.032698,-0.000655,0.019828,-0.013596,-0.000545,0.025304,0.025225,0.032168,0.026552,0.014556,0.04826,0.021458,0.042485,0.022448,0.032606,0.036988,0.046846,0.050206,0.055399,0.047358,0.045574,0.047296,0.026234,0.04612,0.055476,184,190,221,284,697,80,123,143,100,107,97,99,78,64,52,104,95,67,52,29,147,72,52,36,15,300.91,285.94,292.17,302.86,212.13,2151.95,1924.26,1747.84,1826.36,1850.86,4791.36,4705.68,4421.41,4526.12,4611.86,12925.23,11647.36,11607.01,12806.57,14121.07,216697.93,96340.37,64583.48,100100.4,89554.2,998.87744694,43721.341172,3526544.203,37169426.062,183784428.31,119163.00511,6020249.0119,10506658.908,25192551.916,67423602.688,536785.94968,8175763.4688,11298381.801,19212152.328,20212402.786,1317316.0053,2620213.3524,4763628.7144,14276830.645,7207097.3043,1403576.2436,873069.24164,1582317.5336,469134.11147,3064366.0727,2025,1,
-0.07069,-0.059742,-0.065071,-0.060932,-0.023476,-0.082831,-0.088282,-0.08375,-0.055771,-0.040533,-0.056927,-0.049351,-0.049151,-0.027758,-0.02884,-0.045238,-0.067574,-0.022267,-0.028109,-0.017042,-0.030993,-0.018839,0.025459,0.028662,0.015498,-0.105006,-0.080599,-0.059341,-0.066836,-0.044446,-0.083971,-0.083679,-0.089771,-0.063565,-0.041106,-0.057772,-0.05812,-0.053293,-0.029876,-0.030967,-0.046949,-0.066435,-0.03124,-0.022104,-0.027261,-0.023026,-0.021505,0.010177,0.010657,0.004359,184,189,220,281,694,80,123,143,99,106,96,99,77,64,52,104,95,67,52,29,147,72,52,36,15,302.06,285.36,294.59,305.78,211.27,2167.52,1980.39,1817.99,1874.5,1886.04,5028.47,4830.97,4719.52,4647.84,4855.2,13492.94,12152.52,12178.11,13631.34,14808.84,219839.99,103818.15,65892.82,105480.36,95151.18,928.26680022,41109.340808,3297068.4451,34904618.593,179469905.08,109292.61424,5488769.3887,9626726.2247,23787538.103,64690721.8,506228.33592,7772281.3659,10743055.038,18678861.404,19629477.09,1257723.2639,2443155.0554,4657556.9938,13875523.212,7084273.952,1360075.205,856621.49019,1622601.7557,482580.43337,3111857.6181,2025,2,
-0.139324,-0.121005,-0.094072,-0.097306,-0.066402,-0.08357,-0.069955,-0.082917,-0.060432,-0.072286,-0.07451,-0.068196,-0.063498,-0.055594,-0.046488,-0.065099,-0.058203,-0.032662,-0.06433,-0.017756,-0.076697,-0.04998,-0.001605,-0.021792,-0.063793,-0.127866,-0.119617,-0.113584,-0.126992,-0.097344,-0.081532,-0.07579,-0.08939,-0.050323,-0.07928,-0.075988,-0.071288,-0.051078,-0.045354,-0.046199,-0.0582,-0.059622,-0.031533,-0.056148,-0.015177,-0.063116,-0.026356,-0.016434,-0.011337,-0.061995,182,186,218,279,689,79,122,143,98,105,95,99,75,64,52,104,95,67,52,29,147,72,52,36,15,286.18,272.34,283.98,288.15,206.96,2009.05,1815.81,1667.92,1784.09,1801.07,4745.59,4585.84,4417.34,4545.69,4692.57,12904.71,11282.34,11872.11,13456.4,14450.05,212674.1,101586.83,66834.84,108093.93,96005.67,798.93695655,36134.905024,2986906.6224,31508189.776,167552744.44,100159.03046,5104802.5261,8828506.9663,22350009.6,60014488.284,468509.26262,7242242.8658,10060892.529,17640428.783,18716941.959,1175846.7371,2300956.1017,4505431.8672,12982910.804,6958485.5837,1255761.517,813807.54811,1619997.4799,472064.04057,2913342.885,2025,3,
0.008045,0.016903,0.008884,-0.005912,-0.025244,0.005968,-0.009047,-0.024723,-0.031092,-0.063761,-0.000448,-0.025982,-0.038646,-0.051096,-0.038027,-0.007665,-0.012698,-0.020145,-0.039275,-0.072668,0.014078,-0.030129,-0.073866,-0.013472,-0.027941,-0.013281,0.027732,0.072488,0.000172,-0.007516,-0.000061,-0.012311,-0.032462,-0.042374,-0.070831,-0.004393,-0.029753,-0.043184,-0.061732,-0.039089,-0.012399,-0.012436,-0.023541,-0.048746,-0.064011,0.011574,-0.015817,-0.046796,-0.033215,-0.02623,180,186,216,279,682,79,122,143,98,105,94,99,75,64,52,104,95,67,51,28,147,72,52,36,15,257.34,239.71,256.21,261.26,195.13,1836.93,1697.79,1528.85,1677.09,1673.1,4367.52,4264.49,4139.86,4274.98,4456.86,12037.49,10600.26,11464.94,12628.78,14153.51,196124.76,96468.36,66561.42,105731.85,89557.73,805.36440436,36745.693323,3013442.3008,31321913.358,163323042.96,100756.77956,5058619.3776,8610239.7886,21655103.102,56187904.497,468299.37047,7054074.9117,9672079.2761,16739073.434,18005192.807,1166833.8719,2271738.5611,4414669.9423,12473006.982,6452826.3533,1273440.1277,789288.3405,1500334.746,465704.39382,2831941.1715,2025,4,
0.058275,-0.017005,0.005118,-0.021477,0.019583,0.012117,0.024106,0.006056,-0.026081,-0.004527,0.019071,0.024491,-0.004399,0.037288,-0.012628,0.015376,0.015459,0.013389,0.002765,0.024678,0.033248,0.060908,0.020285,0.031263,0.005623,0.066092,-0.040864,-0.000428,0.011715,-0.014577,0.016951,0.018125,0.00175,-0.025127,-0.010844,0.01494,0.021932,0.004252,0.0381,-0.012519,0.010331,0.015547,0.020177,0.005858,0.026443,0.047298,0.037848,0.014997,0.039874,0.013567,7,6,11,18,38,15,10,16,18,24,14,23,13,23,14,19,21,25,15,7,31,26,20,12,3,2.71,3.39,2.33,2.18,1.89,7.13,6.31,7.45,7.42,6.16,14.53,13.43,15.04,14.07,13.32,38.78,35.55,39.43,37.06,30.48,193,233.65,221.9,190.11,118.66,105.88627554,113.10568268,103.76639837,104.64114655,91.490647889,98.974171186,105.3020883,96.765308246,109.73371085,94.114396572,102.87471235,93.42119292,99.522246422,87.670418126,96.730789683,96.101639526,95.637849424,97.01391583,94.616672595,95.298803921,95.561230621,87.746632661,96.707291405,93.723872275,97.905777998,1926,7,19260731
-0.020205,-0.080282,0.013968,0.021482,0.085104,0.023619,-0.007525,0.038984,0.002298,0.062936,-0.009386,0.023874,0.019916,0.043179,0.081141,0.013857,0.038587,0.019738,0.021335,0.053422,0.010169,0.041975,0.019769,0.054923,0.077576,-0.002184,-0.050679,0.006544,0.037326,0.061829,0.018013,-0.011506,0.038679,0.000411,0.054437,-0.008037,0.020917,0.023308,0.039607,0.081779,0.009852,0.042128,0.013765,0.016731,0.057585,0.001742,0.028668,0.025617,0.045298,0.064265,7,6,11,18,38,15,10,16,18,24,14,23,13,23,14,19,21,25,15,7,30,26,20,12,3,2.86,3.34,2.34,2.13,1.92,7.21,6.46,7.47,7.39,6.13,14.78,13.71,14.93,14.52,13.15,39.21,37.18,39.84,37.08,31.23,197.97,247.31,226.09,195.17,119.32,112.05679825,111.18232054,104.2974748,102.39376864,93.282309246,100.17344122,107.84050044,97.351318953,106.87174593,93.688340699,104.83663599,95.709171355,99.08444806,90.939472677,95.509273271,97.579298336,97.116314938,98.312835149,94.878287695,97.650587805,98.738450417,93.091104563,98.668998811,96.653961694,98.456302187,1926,8,19260831
-0.04829,-0.026805,-0.043417,-0.032683,0.008585,-0.026848,-0.005252,0.010789,-0.032877,-0.009419,-0.003405,0.001689,-0.019453,0.026961,-0.036215,0.016897,-0.005245,-0.017723,0.014806,0.00873,-0.01295,0.03661,0.001383,-0.007496,-0.024284,-0.08418,-0.038457,-0.038559,-0.058836,0.048919,-0.03555,-0.003247,0.013,-0.027562,-0.020147,-0.007254,0.000901,-0.019092,0.026046,-0.037568,0.001807,-0.005257,-0.014874,0.021704,-0.003495,-0.013635,0.012335,0.004174,-0.010863,-0.026328,7,6,11,18,38,15,10,16,18,24,14,23,13,23,14,19,21,25,15,7,30,26,20,12,3,2.8,3.07,2.36,2.18,2.18,7.37,6.39,7.74,7.42,6.52,14.65,14.01,15.17,15.09,14.2,39.66,38.46,40.52,37.47,32.76,199.23,262.34,229.41,204.82,128.58,109.79269064,102.25638149,105.75430193,104.59339158,101.22100689,102.53943773,107.02900068,101.14646277,107.11733721,99.584710109,103.85263932,97.994132112,101.05781393,94.866148168,103.25899121,98.931454673,100.86374218,100.25333389,96.902515963,102.86727751,99.742521719,96.998603677,100.61958625,101.96248723,106.09414829,1926,9,19260930
-0.093633,-0.035519,-0.035024,0.034413,-0.025451,-0.028013,-0.04419,-0.050767,-0.08027,-0.013212,-0.051925,-0.025576,0.004353,-0.021992,-0.031372,-0.039136,-0.026527,-0.021058,-0.032531,-0.053524,-0.027381,-0.03006,-0.022467,-0.046725,-0.058128,-0.083217,-0.042444,-0.069963,0.023415,-0.036553,-0.045372,-0.03392,-0.047092,-0.079607,-0.019664,-0.053439,-0.028176,0.003977,-0.03149,-0.020594,-0.033619,-0.026184,-0.018823,-0.034878,-0.060401,-0.026836,-0.027187,-0.036804,-0.036642,-0.066018,7,6,11,18,38,15,10,16,18,24,14,23,13,23,14,19,21,25,15,7,30,26,19,12,3,2.67,2.97,2.25,2.09,2.21,7.09,6.29,7.8,7.14,6.45,14.43,14.12,14.77,15.47,14.17,40.13,37.95,39.48,37.75,33.05,195.71,270.46,236.5,202.91,124.42,104.49080161,99.51539918,101.1627674,101.17496576,102.08998924,99.786458902,106.46688436,102.23773196,103.59564051,98.646721724,103.49902108,98.159644202,99.091936274,97.423834389,99.519466846,100.60309946,100.33471186,98.476544053,98.337254614,103.76530884,98.450856063,100.54972256,100.75874314,101.19817643,103.51775799,1926,10,19261030
0.055888,0.041876,0.024384,-0.044495,0.005109,0.031022,-0.017316,0.030424,0.049538,0.027291,0.01911,0.045488,0.00479,0.049524,0.037373,0.034491,0.023823,0.037314,0.051102,0.018212,0.04433,0.025355,0.01528,0.036595,0.025636,0.007153,0.054506,0.015351,-0.036596,0.02535,-0.004579,-0.024351,0.027418,0.05866,0.019119,0.013771,0.043581,0.000058,0.053669,0.034892,0.03025,0.024947,0.035037,0.071146,0.016978,0.045427,0.036599,0.033338,0.025422,0.023429,7,6,11,18,38,15,10,16,18,24,14,23,13,23,14,19,21,25,15,7,30,26,19,12,3,2.41,2.86,2.17,2.17,2.14,6.88,6.01,7.39,6.55,6.37,13.64,13.68,14.8,16.05,13.74,38.39,36.93,38.72,36.46,31.28,189.95,261.88,230.73,192.71,117.19,94.70701438,95.980711716,97.619642634,104.65669986,99.49169692,96.991140829,101.76211274,97.04742902,95.280018446,97.343401237,98.124834414,95.649113141,99.523283472,95.281289423,96.397342132,96.665896562,97.673132954,96.402824988,95.138245384,98.211374449,95.755173173,97.527197897,98.494996454,96.469691635,97.500477752,1926,11,19261130
0.149644,-0.014262,0.000084,0.0338,0.008588,0.031,0.041489,0.008497,0.023043,0.052085,-0.013795,0.023967,-0.010803,0.030188,0.015349,0.034731,0.026093,0.017611,0.030222,0.001578,0.013563,0.034789,0.01979,0.062436,0.024023,0.129234,0.011559,0.013435,0.00847,-0.011346,0.038217,0.036049,0.01059,0.028725,0.057205,-0.007673,0.022278,-0.010405,0.031092,0.014761,0.038666,0.024708,0.014836,0.025046,-0.004145,0.028147,0.020768,0.022973,0.050261,0.034096,7,6,11,18,38,15,10,16,18,24,14,23,13,23,14,19,21,25,15,7,30,26,19,12,3,2.54,2.98,2.21,2.06,2.16,7.09,5.89,7.58,6.86,6.54,13.89,14.3,14.8,16.82,14.22,39.68,37.6,40.07,38.17,31.7,201.72,266.13,238.19,199.28,120.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1926,12,19261231
